,Date,Compulsory_Mask,Eat_In_Ban,Entry_Recording,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Worship
0,2020-01-23,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
1,2020-01-24,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
2,2020-01-25,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
3,2020-01-26,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
4,2020-01-27,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
5,2020-01-28,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
6,2020-01-29,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
7,2020-01-30,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
8,2020-01-31,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
9,2020-02-01,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
10,2020-02-02,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
11,2020-02-03,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
12,2020-02-04,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
13,2020-02-05,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
14,2020-02-06,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
15,2020-02-07,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
16,2020-02-08,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
17,2020-02-09,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
18,2020-02-10,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
19,2020-02-11,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
20,2020-02-12,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
21,2020-02-13,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
22,2020-02-14,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
23,2020-02-15,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
24,2020-02-16,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
25,2020-02-17,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
26,2020-02-18,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
27,2020-02-19,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
28,2020-02-20,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
29,2020-02-21,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
30,2020-02-22,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
31,2020-02-23,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
32,2020-02-24,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
33,2020-02-25,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
34,2020-02-26,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
35,2020-02-27,0,0,0,0,0,-1.0,0.0,-1.0,-1.0,-1.0
